상품명,상품번호(스마트스토어),할인가(PC),대분류,중분류,소분류,세분류,대표이미지 URL,카테고리명,추가홍보문구1,추가홍보문구2,제외키워드
셀프바 주문제작 네온 이니셜 루미사인 문자조명 LED간판 나래바 무드등 차박소품 개업선물,5223485305,99000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20201117_46/1605592048484DhFEV_JPEG/6727944216779953_546766510.jpg,가구/인테리어>인테리어소품>디자인문패,,,
LED 오픈간판 OPEN 사인 개업선물,5058582418,69000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20200812_116/1597196399679fmKyW_JPEG/34558733275374363_2081927002.jpg,가구/인테리어>인테리어소품>디자인문패,,,
LED 오픈사인 영업중 조명간판 아크릴채널 캠핑포인트문패 홈바네온 개업선물,5057254533,89000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210705_165/16254133834131IwMH_PNG/26549282111524313_1498393320.png,가구/인테리어>인테리어소품>디자인문패,,,
카페 커피 네온 루미사인 LED간판 개업선물,5023198084,89000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20210723_297/1627017782199efWWu_PNG/28153677924617547_1384040904.png,가구/인테리어>인테리어소품>디자인문패,,,
네일아트 네일샵 led 조명간판,4884956801,99000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20200409_50/1586416237601DBd0e_JPEG/23776976232194423_1470540656.jpg,가구/인테리어>인테리어소품>디자인문패,,,
블루네온 헤어샵 이니셜 루미사인 LED간판 입체글자 개업선물 전광판 바버샵 미용실 나래바,4884729518,199000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20200409_8/1586409005240DA3Mk_JPEG/23770547864960940_1997691286.jpg,가구/인테리어>인테리어소품>디자인문패,,,
A4 철제입간판 POP스탠드 매장입구간판,4397033097,77000,생활/건강,문구/사무용품,사무용품,현수막,http://shop1.phinf.naver.net/20190329_288/signcody4657_1553824896217F2TUP_JPEG/77132055837963119_2028191854.jpg,생활/건강>문구/사무용품>사무용품>현수막,,,
A3 철제입간판 POP스탠드 매장입구간판,4396782783,84000,생활/건강,문구/사무용품,사무용품,현수막,http://shop1.phinf.naver.net/20190329_289/signcody4657_1553821468578Bfkup_JPEG/36540327426161529_1845545073.jpg,생활/건강>문구/사무용품>사무용품>현수막,,,
카페 커피간판 오픈 개업선물 LED 네온 루미사인,3966923717,89000,가구/인테리어,인테리어소품,디자인문패,,http://shop1.phinf.naver.net/20200728_194/1595899264136xfagS_JPEG/33262652653355534_1030066721.jpg,가구/인테리어>인테리어소품>디자인문패,,,
원터치와이어 액자레일 천정고리 천장액자 천정액자 벽액자걸이,2161411942,5900,가구/인테리어,DIY자재/용품,가구부속품,기타가구부속품,http://shop1.phinf.naver.net/20170905_294/signcody4657_1504574817071txEAc_JPEG/27881996712127877_88556269.jpg,가구/인테리어>DIY자재/용품>가구부속품>기타가구부속품,,,
7자형와이어 액자레일 천정고리 천장액자 천정액자 벽액자걸이,2153335026,5900,가구/인테리어,DIY자재/용품,가구부속품,기타가구부속품,http://shop1.phinf.naver.net/20170901_98/signcody4657_1504250347506S6kyp_JPEG/27557507127043198_-2105230758.jpg,가구/인테리어>DIY자재/용품>가구부속품>기타가구부속품,,,
레일용와이어 액자레일 천정고리 천장액자 천정액자 벽액자걸이,2153206986,5900,가구/인테리어,DIY자재/용품,가구부속품,기타가구부속품,http://shop1.phinf.naver.net/20170901_114/signcody4657_1504245651944owXUI_JPEG/27552845585950538_1967059796.jpg,가구/인테리어>DIY자재/용품>가구부속품>기타가구부속품,,,
알루미늄자 안전스틸 공업용 컷팅 손가락보호 미끄럼방지 커팅용 스틸엣지,606844220,11000,생활/건강,공구,안전용품,기타안전용품,http://shop1.phinf.naver.net/20161230_245/signcody4657_1483065347831P8SLr_JPEG/7411649582629605_-610095154.jpg,생활/건강>공구>안전용품>기타안전용품,,,
양면폼테이프 다용도 건축용 가정용 시공부착용 간판자재,606800853,2200,생활/건강,공구,포장용품,테이프,http://shop1.phinf.naver.net/20161230_47/signcody4657_1483060420695eKzvn_JPEG/7325200033346480_754942560.jpg,생활/건강>공구>포장용품>테이프,,,
아크릴 재단칼 절단용 캇타 다용도 커터,606793583,3300,생활/건강,공구,설비공구,컷터기,http://shop1.phinf.naver.net/20161230_229/signcody4657_1483059236941RavBG_JPEG/7324025495738290_-2108273601.jpg,생활/건강>공구>설비공구>컷터기,,,
시트제거칼 스크래퍼 찐드기제거 시공용 유리전용 바닥껌제거,451552487,8800,가구/인테리어,DIY자재/용품,접착제/보수용품,,http://shop1.phinf.naver.net/20200102_206/1577944873129Mj6WK_JPEG/15308261657553390_437991113.jpg,가구/인테리어>DIY자재/용품>접착제/보수용품,,,
보영황금헤라 썬팅 랩핑 시트지 필름시공,451547627,1000,가구/인테리어,DIY자재/용품,접착제/보수용품,,http://shop1.phinf.naver.net/20160727_296/signcody4657_146959506592421cNB_JPEG/22.jpg,가구/인테리어>DIY자재/용품>접착제/보수용품,,,
보영고급홍금헤라 썬팅 시트지 랩핑 밀대,451546841,2000,가구/인테리어,DIY자재/용품,접착제/보수용품,,http://shop1.phinf.naver.net/20160727_251/signcody4657_14695949336756zWnU_JPEG/3333.jpg,가구/인테리어>DIY자재/용품>접착제/보수용품,,,
올양모헤라 썬팅 랩핑시공 기스방지 밀대,451539952,8800,가구/인테리어,DIY자재/용품,접착제/보수용품,,http://shop1.phinf.naver.net/20160727_218/signcody4657_1469593535024dmQn6_JPEG/2.jpg,가구/인테리어>DIY자재/용품>접착제/보수용품,,,
양모헤라 썬팅전용 기스방지 시트지시공 랩핑,451539605,5500,가구/인테리어,DIY자재/용품,접착제/보수용품,,http://shop1.phinf.naver.net/20160727_118/signcody4657_1469593382693AEqwC_JPEG/76214381204977716_-851699418.JPG,가구/인테리어>DIY자재/용품>접착제/보수용품,,,
썬팅전용헤라 랩핑 기스 시트지전용 연질,451539269,2200,가구/인테리어,DIY자재/용품,접착제/보수용품,,http://shop1.phinf.naver.net/20160727_57/signcody4657_14695931849042vd93_JPEG/222222222222.jpg,가구/인테리어>DIY자재/용품>접착제/보수용품,,,
썬팅전용헤라 랩핑 기스 시트지전용 우레탄,451538786,11000,가구/인테리어,DIY자재/용품,접착제/보수용품,,http://shop1.phinf.naver.net/20160727_3/signcody4657_1469593053722vtGqB_JPEG/76214064289549624_1446969296.jpg,가구/인테리어>DIY자재/용품>접착제/보수용품,,,
썬팅전용헤라 랩핑 기스 시트지전용 이중날고무,451538449,3300,가구/인테리어,DIY자재/용품,접착제/보수용품,,http://shop1.phinf.naver.net/20160727_130/signcody4657_1469592912716q5Xg9_JPEG/76213944631875065_1951645868.jpg,가구/인테리어>DIY자재/용품>접착제/보수용품,,,
현대엠보시트지 안개시트지 불투명시트지 유리창시트지 사생활보호시트지,450226855,3300,가구/인테리어,DIY자재/용품,시트지,유리용시트지,http://shop1.phinf.naver.net/20160725_281/signcody4657_1469433671351xu0jm_JPEG/76054669866536202_-1801482316.JPG,가구/인테리어>DIY자재/용품>시트지>유리용시트지,,,
현대칼라시트지 조명용시트지 옥외용시트지 무광칼라시트지 단색시트지 간판시트지 글자컷팅시트지,448730401,5500,가구/인테리어,DIY자재/용품,시트지,단색시트지,http://shop1.phinf.naver.net/20160722_107/signcody4657_1469154322229WBRxo_JPEG/75775332791281565_-1382130300.jpg,가구/인테리어>DIY자재/용품>시트지>단색시트지,,,
옥외용시트지 간판시트지 글자컷팅시트지 단색시트지 현대유광칼라시트지 씨트지,448702497,4400,가구/인테리어,DIY자재/용품,시트지,단색시트지,http://shop1.phinf.naver.net/20160728_122/signcody4657_1469670437059d10Ws_JPEG/76291435508071552_2081517123.jpg,가구/인테리어>DIY자재/용품>시트지>단색시트지,,,
유리창시트지 창문시트지 욕실유리시트지 샤워부스시트지 윈도우필름,448322726,4900,가구/인테리어,DIY자재/용품,시트지,유리용시트지,http://shop1.phinf.naver.net/20160721_54/signcody4657_14690898713522IIvA_JPEG/75710869847907215_1759948021.jpg,가구/인테리어>DIY자재/용품>시트지>유리용시트지,,,
현대칼라시트지 내부용시트지 무광칼라시트지 단색시트지 간판시트지,446773212,3300,가구/인테리어,DIY자재/용품,시트지,단색시트지,http://shop1.phinf.naver.net/20160719_197/signcody4657_1468908483635Vz6s2_JPEG/75529476151213870_-1824616770.jpg,가구/인테리어>DIY자재/용품>시트지>단색시트지,,,
