광고그룹 ID,소재 ID,입찰가
grp-a001-02-000000022036028,nad-a001-02-000000140183844,320
grp-a001-02-000000021785266,nad-a001-02-000000138287071,490
grp-a001-02-000000021807511,nad-a001-02-000000138288594,560
grp-a001-02-000000021807555,nad-a001-02-000000138288540,500
grp-a001-02-000000021807481,nad-a001-02-000000138288518,440
grp-a001-02-000000021736136,nad-a001-02-000000138287049,140
grp-a001-02-000000021807497,nad-a001-02-000000138288643,430
grp-a001-02-000000022036028,nad-a001-02-000000140183845,320
grp-a001-02-000000021807501,nad-a001-02-000000138288615,550
grp-a001-02-000000021786478,nad-a001-02-000000142168275,420
grp-a001-02-000000021807523,nad-a001-02-000000147425336,220
grp-a001-02-000000021807496,nad-a001-02-000000147425222,140
grp-a001-02-000000021786478,nad-a001-02-000000142168276,440
grp-a001-02-000000021807488,nad-a001-02-000000147425408,100
grp-a001-02-000000021807511,nad-a001-02-000000147425382,110
grp-a001-02-000000021807497,nad-a001-02-000000147425291,220
grp-a001-02-000000021807481,nad-a001-02-000000138288515,500
grp-a001-02-000000021807546,nad-a001-02-000000138288566,430
grp-a001-02-000000021807488,nad-a001-02-000000138288682,420
grp-a001-02-000000021786478,nad-a001-02-000000138104752,280
grp-a001-02-000000021807496,nad-a001-02-000000138288661,460
grp-a001-02-000000021807555,nad-a001-02-000000138288537,490
grp-a001-02-000000021807501,nad-a001-02-000000140188113,430
grp-a001-02-000000022036028,nad-a001-02-000000140183842,320
grp-a001-02-000000021807511,nad-a001-02-000000138288591,380
grp-a001-02-000000021807496,nad-a001-02-000000147425223,280
grp-a001-02-000000021807497,nad-a001-02-000000147425292,280
grp-a001-02-000000021807523,nad-a001-02-000000147425338,280
grp-a001-02-000000021807488,nad-a001-02-000000147425409,330
grp-a001-02-000000021854519,nad-a001-02-000000147425316,300
grp-a001-02-000000021786478,nad-a001-02-000000142168264,70
grp-a001-02-000000009335164,nad-a001-02-000000147425362,280
grp-a001-02-000000021807523,nad-a001-02-000000147425339,180
grp-a001-02-000000021807497,nad-a001-02-000000147425293,120
grp-a001-02-000000021807523,nad-a001-02-000000147425340,120
grp-a001-02-000000021854519,nad-a001-02-000000147425318,230
grp-a001-02-000000021807501,nad-a001-02-000000147425273,230
grp-a001-02-000000021807497,nad-a001-02-000000147425295,160
grp-a001-02-000000021854519,nad-a001-02-000000147425319,220
grp-a001-02-000000021807488,nad-a001-02-000000147425412,100
grp-a001-02-000000021786478,nad-a001-02-000000142168271,190
grp-a001-02-000000021807501,nad-a001-02-000000147425274,160
grp-a001-02-000000021807496,nad-a001-02-000000147425227,520
grp-a001-02-000000009335164,nad-a001-02-000000147425366,220
grp-a001-02-000000021807519,nad-a001-02-000000147425251,100
grp-a001-02-000000021807511,nad-a001-02-000000147425388,180
grp-a001-02-000000021807523,nad-a001-02-000000147425343,270
grp-a001-02-000000021807497,nad-a001-02-000000147425299,100
grp-a001-02-000000021854519,nad-a001-02-000000147425322,130
grp-a001-02-000000021807496,nad-a001-02-000000147425229,190
grp-a001-02-000000021807511,nad-a001-02-000000147425391,220
grp-a001-02-000000021807496,nad-a001-02-000000147425231,280
