광고그룹 ID,네이버쇼핑 상품 ID,입찰가,노출상품명,추가홍보문구1,추가홍보문구2
grp-a001-02-000000021807519,82780559891.0,190,스티커벽지 워터파크 A형입간판 카페 화 아 호,,
grp-a001-02-000000021807496,82780559891.0,190,도무송 포천가볼만한곳 간판종류 도어사인 도 간,,
grp-a001-02-000000021807523,82780559891.0,190,라벨스티커 인천가볼만한곳 에어조끼 LED간판,,
grp-a001-02-000000009335164,82773826722.0,190,수제맥주점 아크릴인쇄 에어간판 집들이선물 아,,
grp-a001-02-000000021854519,82773826722.0,190,수제맥주점 영업중간판 돌출 인테리어화분 실 호,,
grp-a001-02-000000021854519,82768366251.0,190,킹크랩 팔당맛집 인테리어조명 문자조명 식탁조명,,
grp-a001-02-000000021807511,82768366251.0,190,새벽배송 일산맛집 감성캠핑랜턴 문자조명 센서등,,
grp-a001-02-000000009335164,82768007365.0,190,모니터받침대 제주도맛집 표지판 에어간판 현 간,,
grp-a001-02-000000021807488,82603103795.0,190,프로파일 안전보건표지 고야드 이중유리컵 아 문,,
grp-a001-02-000000021807497,82603103795.0,190,헤드랜턴 춤추는인형 고야드 미니피규어 영 간,,
grp-a001-02-000000021807511,82603103795.0,190,감성랜턴 풍선아트 고야드 레이저각인 도 캠 호,,
grp-a001-02-000000009335164,82567718933.0,190,익선동맛집 생수 네온조명 루미사인 네온사인만들기,,
grp-a001-02-000000021854519,82567718933.0,190,브런치카페 바리스타국비지원 간판만들기 루미사인,,
grp-a001-02-000000021807501,82567718933.0,190,서울놀거리 컵라면 간판제작 루미사인 돌출간판,,
grp-a001-02-000000021807488,82567718933.0,190,강화도카페 사무용품 LED간판 루미사인 조형물,,
grp-a001-02-000000021807497,82567718933.0,190,가평가볼만한곳 맥심화이트골드 간판만들기 전광판,,
grp-a001-02-000000021807496,82567718933.0,190,콜드브루 에스프레소 어닝 루미사인 로고만들기,,
grp-a001-02-000000021807523,82567718933.0,190,남양주가볼만한곳 디저트카페 네온사인주문제작 도,,
grp-a001-02-000000021807511,82567718933.0,190,경기도가볼만한곳 맥심커피믹스 어닝 루미사인 간,,
grp-a001-02-000000009335164,82429480272.0,190,페디큐어 관계자외출입금지 에어간판 화분배달 문,,
grp-a001-02-000000021854519,82429480272.0,190,홍대네일 시트지인쇄 레터링스티커 화분종류 l,,
grp-a001-02-000000009335164,82429252989.0,190,다운펌 미용실 아크릴인쇄 돌출간판 가정용금고,,
grp-a001-02-000000021854519,82429252989.0,190,다운펌 다 CLOSED 네온사인 미니금고 관,,
grp-a001-02-000000009335164,81941555547.0,190,아우디A7 간판가격 입간판 매장입구 아 철 미,,
grp-a001-02-000000021807501,81941555547.0,190,행거 LED액자 레일 매장입구간판 p 배 베,,
grp-a001-02-000000021807497,81941555547.0,190,인조잔디 간판제작 입간판 매장입구 p 입 착,,
grp-a001-02-000000021807496,81941555547.0,190,아우디Q3 철제입간판 비닐봉지 매장입구 베 미,,
grp-a001-02-000000021807519,81941305233.0,190,아우디Q5 어닝 액자 매장입구 현 케 케 현,,
grp-a001-02-000000021807501,81941305233.0,190,포르쉐카이엔 실사출력 다꾸스티커 매장입구 나,,
grp-a001-02-000000021807523,81941305233.0,190,아반떼신형 LED간판 다꾸스티커 매장입구 아,,
grp-a001-02-000000021807511,81941305233.0,190,아반떼신형 DIY 집들이선물 매장입구 현 미,,
grp-a001-02-000000009335164,81511443942.0,190,경기가볼만한곳 디저트카페 시트지인쇄 에어간판,,
grp-a001-02-000000021854519,81511443942.0,190,춘천맛집 A4용지 아크릴인쇄 돌출간판 대형토분,,
grp-a001-02-000000009335164,10845615862.0,190,가정용사다리 다용도 건축용 가정용 시공부착용,,
grp-a001-02-000000021807519,10845615862.0,190,강력접착제 다용도 건축용 가정용 시공부착용 강,,
grp-a001-02-000000021807501,10845615862.0,190,구리스 다용도 건축용 가정용 시공부착용 찍 강,,
grp-a001-02-000000021807511,10845615862.0,190,종이테이프 다용도 건축용 가정용 시공부착용 몬,,
grp-a001-02-000000021807484,10845615862.0,190,못없이액자걸기 다용도 건축용 가정용 시공부착용,,
grp-a001-02-000000021854519,10845602397.0,190,미니간판 문서파쇄업체 절단용 테이프디스펜서 멀,,
grp-a001-02-000000021807519,10845602397.0,190,간판업체 셀프제본 절단용 박스테이프 크 동 디,,
grp-a001-02-000000021807501,10845602397.0,190,아크릴제작 현대오피스코팅기 절단용 밴딩기 파,,
grp-a001-02-000000021807488,10845602397.0,190,스티커만들기 종이분쇄기 절단용 양면테이프 스,,
grp-a001-02-000000021807496,10845602397.0,190,실사출력 제단기 절단용 초강력양면테이프 멀 강,,
grp-a001-02-000000021807511,10845602397.0,190,아크릴박스 제본기 절단용 테이프제작 전 만 파,,
grp-a001-02-000000009335164,10119575501.0,190,시트제거칼 방진마스크 철물 바닥껌 찐드기제거,,
grp-a001-02-000000021854519,10119575501.0,190,시트제거칼 야채슬라이서 거울 바닥껌 찐드기제거,,
grp-a001-02-000000021807519,10119575501.0,190,시트제거칼 볼트너트 거울 바닥껌 찐드기제거 물,,
grp-a001-02-000000021807501,10119575501.0,190,시트제거칼 채칼 석재 바닥껌 찐드기제거 강 마,,
grp-a001-02-000000021807488,10119575501.0,190,시트제거칼 전지가위 붙이는화이트보드 바닥껌 못,,
grp-a001-02-000000021807497,10119575501.0,190,시트제거칼 마스킹테이프 에폭시 바닥껌 줄 마,,
grp-a001-02-000000021807496,10119575501.0,190,시트제거칼 방진마스크 DIY가구 바닥껌 타 타,,
grp-a001-02-000000021807523,10119575501.0,190,시트제거칼 각도절단기 거울 바닥껌 찐드기제거,,
grp-a001-02-000000021807511,10119575501.0,190,시트제거칼 파이프 식탁유리 바닥껌 찐드기제거,,
grp-a001-02-000000021807519,10119555489.0,190,보영황금헤라 햇빛차단테이프 자동차스티커 물 장,,
grp-a001-02-000000021807501,10119555489.0,190,보영황금헤라 유리창문시트지 자동차덴트 강 장,,
grp-a001-02-000000021807488,10119555489.0,190,보영황금헤라 썬팅반사필름 자동차공업사 티코스터,,
grp-a001-02-000000021807497,10119555489.0,190,보영황금헤라 벽지곰팡이제거제 차량용스티커 문패,,
grp-a001-02-000000021807496,10119555489.0,190,보영황금헤라 벽지곰팡이제거제 차기스제거 강 줄,,
grp-a001-02-000000021807511,10119555489.0,190,보영황금헤라 썬팅필름 자동차기스제거 블랙보드,,
grp-a001-02-000000021807519,10119554295.0,190,보영고급홍금헤라 대리석시트지 브라인드커튼 가,,
grp-a001-02-000000021807488,10119554295.0,190,보영고급홍금헤라 벽스티커 화이트암막커튼 강 강,,
grp-a001-02-000000021807496,10119554295.0,190,보영고급홍금헤라 거울시트지 짧은커튼 강 물 b,,
grp-a001-02-000000021807511,10119554295.0,190,보영고급홍금헤라 사생활보호필름 짧은커튼 장 코,,
grp-a001-02-000000021854519,10119485914.0,190,올양모헤라 창문사생활보호 차량랩핑 욕 줄 월,,
grp-a001-02-000000021807488,10119485914.0,190,올양모헤라 썬팅필름 자동차랩핑 장 타 월 줄,,
grp-a001-02-000000021807497,10119485914.0,190,올양모헤라 햇빛차단테이프 자동차PPF필름 줄,,
grp-a001-02-000000021807496,10119485914.0,190,올양모헤라 틴팅 자동차래핑 월 줄 월 월 마,,
grp-a001-02-000000021807511,10119485914.0,190,올양모헤라 열차단필름 자동차래핑 줄 타 장 마,,
grp-a001-02-000000021807485,10119485914.0,190,올양모헤라 후방카메라 차량랩핑 강 물 타 줄,,
grp-a001-02-000000021854519,10119439295.0,190,웨인스코팅 썬팅전용 기스방지 레터링스티커 타,,
grp-a001-02-000000021807519,10119439295.0,190,3M장갑 썬팅전용 기스방지 창문썬팅지 구글광고,,
grp-a001-02-000000021807488,10119439295.0,190,실리콘테이프 썬팅전용 기스방지 레터링스티커 줄,,
grp-a001-02-000000021807497,10119439295.0,190,실리콘테이프 썬팅전용 기스방지 창문썬팅지 강,,
grp-a001-02-000000021807511,10119439295.0,190,시트지 썬팅전용 기스방지 배달스티커 로고제작,,
grp-a001-02-000000021854519,10119407414.0,190,썬팅전용헤라 베란다탄성코트 기스 전용 타 강,,
grp-a001-02-000000021807519,10119407414.0,190,썬팅전용헤라 주방타일시트지 기스 전용 코 장,,
grp-a001-02-000000021807501,10119407414.0,190,썬팅전용헤라 시트지 기스 전용 타 물 금 타,,
grp-a001-02-000000021807488,10119407414.0,190,썬팅전용헤라 썬팅 기스 전용 금 월 물 f 강,,
grp-a001-02-000000021807523,10119407414.0,190,썬팅전용헤라 시트지 기스 전용 욕 석 물 줄,,
grp-a001-02-000000021807484,10119407414.0,190,썬팅전용헤라 자동차썬팅추천 기스 전용 강 금,,
grp-a001-02-000000021854519,10119406753.0,190,썬팅전용헤라 시트지 기스 시트지전용 모자이크타일,,
grp-a001-02-000000021807519,10119406753.0,190,썬팅전용헤라 시트지 기스 시트지전용 거실아트월,,
grp-a001-02-000000021807501,10119406753.0,190,썬팅전용헤라 랩핑지 기스 시트지전용 스텐실 장,,
grp-a001-02-000000021807488,10119406753.0,190,썬팅전용헤라 제주소품샵 기스 시트지전용 f 강,,
grp-a001-02-000000021807497,10119406753.0,190,썬팅전용헤라 소품샵 기스 시트지전용 f 마 강,,
grp-a001-02-000000021807523,10119406753.0,190,썬팅전용헤라 제주도가볼만한곳 기스 시트지전용,,
grp-a001-02-000000021807484,10119406753.0,190,썬팅전용헤라 스티커 기스 시트지전용 차량용스티커,,
grp-a001-02-000000009335164,10119377476.0,190,썬팅전용헤라 데칼스티커 기스 시트지전용 강 강,,
grp-a001-02-000000021854519,10119377476.0,190,썬팅전용헤라 자동차튜닝 기스 시트지전용 장 줄,,
grp-a001-02-000000021807519,10119377476.0,190,썬팅전용헤라 오토바이랩핑 기스 시트지전용 금,,
grp-a001-02-000000021807501,10119377476.0,190,썬팅전용헤라 광고대행사 기스 시트지전용 강 마,,
grp-a001-02-000000021807488,10119377476.0,190,썬팅전용헤라 자동차튜닝 기스 시트지전용 코 강,,
grp-a001-02-000000021807497,10119377476.0,190,썬팅전용헤라 자동차랩핑비용 기스 시트지전용 욕,,
grp-a001-02-000000021807523,10119377476.0,190,썬팅전용헤라 광고대행사 기스 시트지전용 물 욕,,
