노출키워드,연관키워드,검색(PC),검색(폰),평균클릭(PC),평균클릭(폰),평클릭률(PC),평균클릭률(폰),노출광고수,경쟁도,총검색,총클릭
영업중,시트지인쇄,790,810,22.7,39.8,3.04,5.3,15,높음,1600.0,62.5
영업중,관계자외출입금지,2980,2680,8.0,21.7,0.29,0.87,15,높음,5660.0,29.7
영업중,표지판,2750,4450,16.2,26.7,0.63,0.64,15,높음,7200.0,42.9
영업중,아크릴인쇄,830,770,32.8,42.8,4.16,5.75,15,높음,1600.0,75.6
영업중,시트지제작,1640,3060,44.7,120.8,2.88,4.18,15,높음,4700.0,165.5
영업중,CLOSED,1740,5220,1.1,23.3,0.07,0.48,13,중간,6960.0,24.4
나래바네온사인,네온사인주문제작,1160,5220,39.5,339.6,3.63,6.92,15,높음,6380.0,379.1
나래바네온사인,네온사인,4040,12800,48.3,318.1,1.28,2.66,15,높음,16840.0,366.4
나래바네온사인,네온간판,580,2260,12.1,87.3,2.22,4.12,15,높음,2840.0,99.4
나래바네온사인,네온,1600,4530,8.3,48.3,0.56,1.15,15,높음,6130.0,56.6
나래바네온사인,네온사인만들기,630,3320,3.8,65.3,0.63,2.08,15,높음,3950.0,69.1
나래바네온사인,LED간판,1670,6350,25.3,221.0,1.61,3.71,15,높음,8020.0,246.3
나래바네온사인,LED바,4190,8690,48.4,147.3,1.23,1.8,15,높음,12880.0,195.7
나래바네온사인,무드등,17800,71000,41.3,543.3,0.25,0.82,15,높음,88800.0,584.6
나래바네온사인,네온조명,600,3070,6.4,104.7,1.15,3.64,15,높음,3670.0,111.1
나래바네온사인,무드등제작,380,1810,8.7,88.6,2.44,5.23,15,높음,2190.0,97.3
캠핑문패,감성캠핑용품,2450,12700,59.9,405.4,2.53,3.38,15,높음,15150.0,465.3
캠핑문패,홈캠핑,1870,6640,5.4,142.7,0.31,2.3,15,높음,8510.0,148.1
캠핑문패,캠핑테이블,20600,153400,64.7,1739.8,0.33,1.2,15,높음,174000.0,1804.5
캠핑문패,현판,4440,5630,67.9,77.3,1.62,1.45,15,높음,10070.0,145.2
캠핑문패,아크릴간판,2330,5010,51.8,109.3,2.35,2.32,15,높음,7340.0,161.1
캠핑문패,차박용품,6140,34400,81.1,1096.2,1.39,3.37,15,높음,40540.0,1177.3
캠핑문패,가정용해먹,1280,15200,13.8,432.6,1.14,3.05,15,높음,16480.0,446.4
캠핑문패,차박커튼,1730,7650,13.3,151.4,0.8,2.1,15,높음,9380.0,164.7
캠핑문패,우드롤테이블,2850,12500,3.7,138.7,0.14,1.17,15,높음,15350.0,142.4
캠핑문패,감성캠핑,2890,13300,41.5,372.1,1.51,2.97,15,높음,16190.0,413.6
캠핑문패,캠핑테이블의자세트,1610,11300,8.5,314.1,0.55,2.92,15,높음,12910.0,322.6
캠핑문패,캠핑폴딩박스,6470,50400,21.1,702.8,0.35,1.48,15,높음,56870.0,723.9
캠핑문패,캠핑우드테이블,810,6350,4.0,145.1,0.51,2.42,15,높음,7160.0,149.1
캠핑문패,캠핑롤테이블,2270,16700,5.8,218.2,0.27,1.38,15,높음,18970.0,224.0
캠핑문패,폴딩박스,8160,32500,20.7,288.8,0.27,0.94,15,높음,40660.0,309.5
캠핑문패,티코스터,3710,15800,7.9,128.9,0.23,0.88,15,높음,19510.0,136.8
24시,24시,1070,5360,0.0,0.0,0.0,0.0,0,낮음,6430.0,0.0
오픈,오픈,2330,7240,1.9,38.0,0.09,0.57,15,높음,9570.0,39.9
오픈,푯말,1200,1710,4.7,17.0,0.41,1.07,15,높음,2910.0,21.7
오픈,CLOSED,1740,5220,1.1,23.3,0.07,0.48,13,중간,6960.0,24.4
잘보이는,잘보이는,10,10,0.0,0.0,0.0,0.0,2,중간,20.0,0.0
적색,적색,940,4310,0.3,0.0,0.04,0.0,3,높음,5250.0,0.3
LED,LED,7310,20300,10.5,74.3,0.16,0.39,15,높음,27610.0,84.8
LED,LED전광판,2090,4410,39.6,155.8,2.04,3.75,15,높음,6500.0,195.4
LED,LED전구,6280,26200,46.7,298.8,0.79,1.22,15,높음,32480.0,345.5
LED,LED방등,2800,10300,15.1,163.3,0.58,1.7,15,높음,13100.0,178.4
LED,LED전등교체,7660,48100,64.3,830.3,0.89,1.86,15,높음,55760.0,894.6
LED,간판업체,980,2960,30.2,159.8,3.26,5.74,15,높음,3940.0,190.0
LED,사이니지,4070,2830,18.5,37.8,0.48,1.41,15,높음,6900.0,56.3
LED,전기스위치,1730,4720,14.6,70.0,0.89,1.59,15,높음,6450.0,84.6
LED,간판제작,1520,2350,41.5,103.1,2.89,4.62,15,높음,3870.0,144.6
LED,LED간판,1670,6350,25.3,221.0,1.61,3.71,15,높음,8020.0,246.3
LED,LED모듈,8680,15000,33.4,178.8,0.41,1.26,15,높음,23680.0,212.2
LED,LED전등,3810,12300,29.3,183.3,0.81,1.58,15,높음,16110.0,212.6
LED,전광판,1980,4670,17.9,63.0,0.96,1.43,15,높음,6650.0,80.9
LED,전자칠판,5830,12600,74.8,260.3,1.38,2.21,15,높음,18430.0,335.1
LED,엘이디조명,410,3550,10.5,149.6,2.68,4.59,15,높음,3960.0,160.1
LED,LED등,7730,29600,60.9,543.5,0.84,1.97,15,높음,37330.0,604.4
LED,센서등,4950,18600,34.0,269.8,0.73,1.55,15,높음,23550.0,303.8
LED,전기누전검사,520,3680,4.2,100.4,0.91,2.94,15,높음,4200.0,104.6
LED,키오스크,20900,60700,166.0,828.3,0.87,1.49,15,높음,81600.0,994.3
LED,돌출간판,1410,3460,14.3,64.3,1.07,1.97,15,높음,4870.0,78.6
LED,거실LED등,1750,15300,33.4,600.0,2.03,4.24,15,높음,17050.0,633.4
LED,입간판,7570,18800,98.8,340.0,1.39,1.93,15,높음,26370.0,438.8
LED,엘이디등,480,4010,8.6,112.5,1.89,2.96,15,높음,4490.0,121.1
LED,거실등,4180,23300,74.8,835.8,1.89,3.85,15,높음,27480.0,910.6
LED,전기증설비용,740,3350,4.2,72.1,0.6,2.35,15,높음,4090.0,76.3
LED,LED간접조명,1260,6790,7.9,129.6,0.66,2.04,15,높음,8050.0,137.5
LED,욕실등,1160,4490,10.5,45.0,0.97,1.08,15,높음,5650.0,55.5
LED,전기차단기,680,4130,5.6,62.7,0.87,1.65,15,높음,4810.0,68.3
LED,LED작업등,1730,5450,11.3,71.3,0.69,1.4,15,높음,7180.0,82.6
LED,인테리어조명,2350,8930,51.1,285.8,2.28,3.42,15,높음,11280.0,336.9
LED,전기수리,400,3780,3.1,88.3,0.83,2.51,15,높음,4180.0,91.4
LED,다운라이트,3380,6340,12.5,68.0,0.4,1.15,15,높음,9720.0,80.5
LED,LED주방등,1530,10800,17.0,268.1,1.18,2.64,15,높음,12330.0,285.1
LED,누전차단기,4870,13400,16.8,108.6,0.37,0.87,15,높음,18270.0,125.4
LED,국산LED거실등,1090,9330,25.4,421.0,2.5,4.85,15,높음,10420.0,446.4
LED,빔스크린,3800,17700,17.5,204.5,0.49,1.22,15,높음,21500.0,222.0
LED,LED컨버터,1360,3520,10.9,52.0,0.85,1.59,15,높음,4880.0,62.9
LED,스탠드조명,6280,29900,45.7,493.9,0.78,1.78,15,높음,36180.0,539.6
LED,현관센서등,3990,23800,45.7,567.4,1.21,2.55,15,높음,27790.0,613.1
LED,네온사인,4040,12800,48.3,318.1,1.28,2.66,15,높음,16840.0,366.4
LED,삼성스마트TV,1940,14000,7.5,85.3,0.41,0.66,15,높음,15940.0,92.8
LED,아크릴간판,2330,5010,51.8,109.3,2.35,2.32,15,높음,7340.0,161.1
영업재개,영업재개,220,420,0.0,0.0,0.0,0.0,0,낮음,640.0,0.0
코로나,코로나,2563400,10925200,386.2,2768.2,0.02,0.03,5,중간,13488600.0,3154.4
