노출상태,노출상품명,광고그룹 이름,평균노출순위,노출수,클릭수,전환수,전환율,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,광고그룹 ID,상품 ID
빈 그룹,,j,,,,,,,,,,,grp-a001-02-000000021807484,5774543963.0
빈 그룹,,k,,,,,,,,,,,grp-a001-02-000000021807485,5774543963.0
빈 그룹,,l,,,,,,,,,,,grp-a001-02-000000021807486,5774543963.0
빈 그룹,,m,,,,,,,,,,,grp-a001-02-000000021807481,5774543963.0
빈 그룹,,n,,,,,,,,,,,grp-a001-02-000000021807552,5774543963.0
빈 그룹,,o,,,,,,,,,,,grp-a001-02-000000021807546,5774543963.0
빈 그룹,,p,,,,,,,,,,,grp-a001-02-000000021807554,5774543963.0
빈 그룹,,q,,,,,,,,,,,grp-a001-02-000000021807550,5774543963.0
빈 그룹,,r,,,,,,,,,,,grp-a001-02-000000021807549,5774543963.0
빈 그룹,,s,,,,,,,,,,,grp-a001-02-000000021807551,5774543963.0
빈 그룹,,t,,,,,,,,,,,grp-a001-02-000000021807555,5774543963.0
빈 그룹,,u,,,,,,,,,,,grp-a001-02-000000022036013,5774543963.0
빈 그룹,,v,,,,,,,,,,,grp-a001-02-000000021785283,5774543963.0
빈 그룹,,w,,,,,,,,,,,grp-a001-02-000000021785266,5774543963.0
빈 그룹,,x,,,,,,,,,,,grp-a001-02-000000022036032,5774543963.0
빈 그룹,,y,,,,,,,,,,,grp-a001-02-000000021785285,5774543963.0
빈 그룹,,z,,,,,,,,,,,grp-a001-02-000000021736136,5774543963.0
빈 그룹,,za,,,,,,,,,,,grp-a001-02-000000022036028,5774543963.0
불량 소재,입간판 야외가판대 인쇄주문제작,원본,3.1,7.0,0.0,0.0,0.0,0.0,0.0,on,50.0,nad-a001-02-000000145968677,grp-a001-02-000000021786478,5774543150.0
빈 그룹,,a,,,,,,,,,,,grp-a001-02-000000009335164,5774543150.0
빈 그룹,,b,,,,,,,,,,,grp-a001-02-000000021854519,5774543150.0
빈 그룹,,c,,,,,,,,,,,grp-a001-02-000000021807519,5774543150.0
빈 그룹,,d,,,,,,,,,,,grp-a001-02-000000021807501,5774543150.0
빈 그룹,,e,,,,,,,,,,,grp-a001-02-000000021807488,5774543150.0
빈 그룹,,f,,,,,,,,,,,grp-a001-02-000000021807497,5774543150.0
빈 그룹,,g,,,,,,,,,,,grp-a001-02-000000021807496,5774543150.0
빈 그룹,,h,,,,,,,,,,,grp-a001-02-000000021807523,5774543150.0
빈 그룹,,i,,,,,,,,,,,grp-a001-02-000000021807511,5774543150.0
빈 그룹,,j,,,,,,,,,,,grp-a001-02-000000021807484,5774543150.0
빈 그룹,,k,,,,,,,,,,,grp-a001-02-000000021807485,5774543150.0
빈 그룹,,l,,,,,,,,,,,grp-a001-02-000000021807486,5774543150.0
빈 그룹,,m,,,,,,,,,,,grp-a001-02-000000021807481,5774543150.0
빈 그룹,,n,,,,,,,,,,,grp-a001-02-000000021807552,5774543150.0
빈 그룹,,o,,,,,,,,,,,grp-a001-02-000000021807546,5774543150.0
빈 그룹,,p,,,,,,,,,,,grp-a001-02-000000021807554,5774543150.0
빈 그룹,,q,,,,,,,,,,,grp-a001-02-000000021807550,5774543150.0
빈 그룹,,r,,,,,,,,,,,grp-a001-02-000000021807549,5774543150.0
빈 그룹,,s,,,,,,,,,,,grp-a001-02-000000021807551,5774543150.0
빈 그룹,,t,,,,,,,,,,,grp-a001-02-000000021807555,5774543150.0
빈 그룹,,u,,,,,,,,,,,grp-a001-02-000000022036013,5774543150.0
빈 그룹,,v,,,,,,,,,,,grp-a001-02-000000021785283,5774543150.0
빈 그룹,,w,,,,,,,,,,,grp-a001-02-000000021785266,5774543150.0
빈 그룹,,x,,,,,,,,,,,grp-a001-02-000000022036032,5774543150.0
빈 그룹,,y,,,,,,,,,,,grp-a001-02-000000021785285,5774543150.0
빈 그룹,,z,,,,,,,,,,,grp-a001-02-000000021736136,5774543150.0
빈 그룹,,za,,,,,,,,,,,grp-a001-02-000000022036028,5774543150.0
불량 소재,명찰 케이스 목걸이 사원증 신분증 가죽 직원 이름표,원본,4.0,1.0,0.0,0.0,0.0,0.0,0.0,on,50.0,nad-a001-02-000000145968679,grp-a001-02-000000021786478,5774539373.0
빈 그룹,,a,,,,,,,,,,,grp-a001-02-000000009335164,5774539373.0
빈 그룹,,b,,,,,,,,,,,grp-a001-02-000000021854519,5774539373.0
빈 그룹,,c,,,,,,,,,,,grp-a001-02-000000021807519,5774539373.0
빈 그룹,,d,,,,,,,,,,,grp-a001-02-000000021807501,5774539373.0
빈 그룹,,e,,,,,,,,,,,grp-a001-02-000000021807488,5774539373.0
빈 그룹,,f,,,,,,,,,,,grp-a001-02-000000021807497,5774539373.0
빈 그룹,,g,,,,,,,,,,,grp-a001-02-000000021807496,5774539373.0
빈 그룹,,h,,,,,,,,,,,grp-a001-02-000000021807523,5774539373.0
빈 그룹,,i,,,,,,,,,,,grp-a001-02-000000021807511,5774539373.0
빈 그룹,,j,,,,,,,,,,,grp-a001-02-000000021807484,5774539373.0
빈 그룹,,k,,,,,,,,,,,grp-a001-02-000000021807485,5774539373.0
빈 그룹,,l,,,,,,,,,,,grp-a001-02-000000021807486,5774539373.0
빈 그룹,,m,,,,,,,,,,,grp-a001-02-000000021807481,5774539373.0
빈 그룹,,n,,,,,,,,,,,grp-a001-02-000000021807552,5774539373.0
빈 그룹,,o,,,,,,,,,,,grp-a001-02-000000021807546,5774539373.0
빈 그룹,,p,,,,,,,,,,,grp-a001-02-000000021807554,5774539373.0
빈 그룹,,q,,,,,,,,,,,grp-a001-02-000000021807550,5774539373.0
빈 그룹,,r,,,,,,,,,,,grp-a001-02-000000021807549,5774539373.0
빈 그룹,,s,,,,,,,,,,,grp-a001-02-000000021807551,5774539373.0
빈 그룹,,t,,,,,,,,,,,grp-a001-02-000000021807555,5774539373.0
빈 그룹,,u,,,,,,,,,,,grp-a001-02-000000022036013,5774539373.0
빈 그룹,,v,,,,,,,,,,,grp-a001-02-000000021785283,5774539373.0
빈 그룹,,w,,,,,,,,,,,grp-a001-02-000000021785266,5774539373.0
빈 그룹,,x,,,,,,,,,,,grp-a001-02-000000022036032,5774539373.0
빈 그룹,,y,,,,,,,,,,,grp-a001-02-000000021785285,5774539373.0
빈 그룹,,z,,,,,,,,,,,grp-a001-02-000000021736136,5774539373.0
빈 그룹,,za,,,,,,,,,,,grp-a001-02-000000022036028,5774539373.0
불량 소재,테이블 스탠드 표찰 예약 흡연석 금연,원본,5.0,1.0,0.0,0.0,0.0,0.0,0.0,on,50.0,nad-a001-02-000000145968680,grp-a001-02-000000021786478,5774536385.0
빈 그룹,,a,,,,,,,,,,,grp-a001-02-000000009335164,5774536385.0
빈 그룹,,b,,,,,,,,,,,grp-a001-02-000000021854519,5774536385.0
빈 그룹,,c,,,,,,,,,,,grp-a001-02-000000021807519,5774536385.0
빈 그룹,,d,,,,,,,,,,,grp-a001-02-000000021807501,5774536385.0
빈 그룹,,e,,,,,,,,,,,grp-a001-02-000000021807488,5774536385.0
빈 그룹,,f,,,,,,,,,,,grp-a001-02-000000021807497,5774536385.0
빈 그룹,,g,,,,,,,,,,,grp-a001-02-000000021807496,5774536385.0
빈 그룹,,h,,,,,,,,,,,grp-a001-02-000000021807523,5774536385.0
빈 그룹,,i,,,,,,,,,,,grp-a001-02-000000021807511,5774536385.0
빈 그룹,,j,,,,,,,,,,,grp-a001-02-000000021807484,5774536385.0
