상품번호(스마트스토어),판매자상품코드,채널,결제여부,상품명,스마트스토어전용 상품명,쇼핑윈도전용 상품명,판매상태,전시상태,재고수량,판매가,할인가(PC),판매자즉시할인(PC),관리자즉시할인(PC),할인가(모바일),판매자즉시할인(모바일),관리자즉시할인값(모바일),옵션,추가상품,상품속성,최소구매수량,최대구매수량,복수구매할인,포인트(상품구매),포인트(상품구매/관리자),포인트(텍스트리뷰 작성),포인트(포토/동영상리뷰 작성),포인트(한달사용 텍스트리뷰 작성),포인트(한달사용 포토/동영상리뷰 작성),포인트(톡톡친구/스토어찜고객 리뷰 작성),무이자할부,사은품,묶음배송,배송비유형,배송비결제방식,기본배송비,반품배송비,교환배송비,무료반품보험,네이버쇼핑 등록(스마트스토어),네이버쇼핑 등록(쇼핑윈도),대분류,중분류,소분류,세분류,제조사명,브랜드명,브랜드ID,모델명,브랜드인증,자체제작,맞춤제작,인증정보,판매자바코드,판매자 내부코드1,판매자 내부코드2,대표이미지 URL,판매시작일,판매종료일,모바일 미리보기 생성일,상품등록일,최종수정일,구독유형
5742862279,sc-00025414,스마트스토어,Y,LED형광등 직관램프,N,-,판매중,전시중,19998,117920,2500,115420원,,2500,115420원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,조명,인테리어조명,사인코디,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_23/1627199620735RTBJP_JPEG/90.jpg,,,2021-07-25 16:59:56,2021-07-25 16:59:50,2021-07-28 12:31:23,
5731013039,,스마트스토어,Y,현대칼라시트지 HS 일반용 1롤,N,-,판매중,전시중,529947,360000,120000,240000원,,120000,240000원,,Y,N,N,,,,,1.0%,0,0,0,0,0,,,,유료,선결제,4400,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,사인코디,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210720_109/1626744547092It5rK_JPEG/107.jpg,,,,2021-07-20 10:48:56,2021-07-22 11:54:27,
5731013038,,스마트스토어,Y,현대칼라시트지 HL 조명용 1롤,N,-,판매중,전시중,419958,600000,200000,400000원,,200000,400000원,,Y,N,N,,,,,1.0%,0,0,0,0,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,DIY자재/용품,시트지,단색시트지,사인코디,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210720_215/1626744546914uETKY_JPEG/106.jpg,,,,2021-07-20 10:48:56,2021-07-22 12:17:06,
5731013037,,스마트스토어,Y,현대칼라시트지 AD 옥외용 1롤,N,-,판매중,전시중,229977,345000,115000,230000원,,115000,230000원,,Y,N,N,,,,,1.0%,0,0,0,0,0,,,,유료,선결제,4400,4400,8800,N,Y,-,가구/인테리어,DIY자재/용품,시트지,단색시트지,사인코디,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210720_109/16267445467715w7LP_JPEG/105.jpg,,,,2021-07-20 10:48:56,2021-07-22 12:17:06,
5731013036,,스마트스토어,Y,현대엠보시트지 122폭 1롤,N,-,판매중,전시중,9999,369600,123200,246400원,,123200,246400원,,N,N,N,,,,,1.0%,0,0,0,0,0,,,,유료,선결제,4400,4400,8800,N,Y,-,가구/인테리어,DIY자재/용품,시트지,단색시트지,사인코디,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210720_176/1626744546521Yp3XV_JPEG/104.jpg,,,,2021-07-20 10:48:56,2021-07-22 12:17:06,
5731013035,,스마트스토어,Y,현대엠보시트지 100폭 1롤,N,-,판매중,전시중,9999,330000,110000,220000원,,110000,220000원,,N,N,N,,,,,1.0%,0,0,0,0,0,,,,유료,선결제,4400,4400,8800,N,Y,-,가구/인테리어,DIY자재/용품,시트지,단색시트지,사인코디,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210720_197/1626744546255F5kKA_JPEG/103.jpg,,,,2021-07-20 10:48:56,2021-07-22 12:17:06,
5731013034,,스마트스토어,Y,현대보조시트지 1롤,N,-,판매중,전시중,9999,297000,99000,198000원,,99000,198000원,,N,N,N,,,,,1.0%,0,0,0,0,0,,,,유료,선결제,4400,4400,8800,N,Y,-,가구/인테리어,DIY자재/용품,시트지,단색시트지,사인코디,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210720_238/162674454611214LeO_JPEG/102.jpg,,,,2021-07-20 10:48:56,2021-07-22 12:17:06,
5731013033,,스마트스토어,Y,현대메탈시트지 1롤,N,-,판매중,전시중,49995,495000,170000,325000원,,170000,325000원,,Y,N,N,,,,,1.0%,0,0,0,0,0,,,,유료,착불 또는 선결제,4400,4400,8800,N,Y,-,가구/인테리어,DIY자재/용품,시트지,단색시트지,사인코디,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210720_227/1626744545923cCpEl_JPEG/101.jpg,,,,2021-07-20 10:48:56,2021-07-22 12:17:06,
5731013024,,스마트스토어,Y,플라잉배너F 물통형 스파이크형 크로스베이스형 사각베이스 윈드배너 깃발 자이언트베너,N,-,판매중,전시중,17500,280000,34100,245900원,,34100,245900원,,Y,N,N,,,,,1.0%,0,0,0,0,0,,,,유료,착불 또는 선결제,3300,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,사인코디,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210720_253/1626744544245s8pUt_JPEG/92.jpg,,,,2021-07-20 10:48:55,2021-07-23 17:41:28,
5731013015,,스마트스토어,Y,칼라피스(백색/적색/청색/흑색),N,-,판매중,전시중,39996,49500,18500,31000원,,18500,31000원,,Y,N,N,,,,,1.0%,0,0,0,0,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,DIY자재/용품,접착제/보수용품,,사인코디,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210720_193/1626744541380nMNxc_JPEG/80.jpg,,,,2021-07-20 10:48:55,2021-07-23 17:53:18,
