상품번호(스마트스토어),판매자상품코드,채널,결제여부,상품명,스마트스토어전용 상품명,쇼핑윈도전용 상품명,판매상태,전시상태,재고수량,판매가,할인가(PC),판매자즉시할인(PC),관리자즉시할인(PC),할인가(모바일),판매자즉시할인(모바일),관리자즉시할인값(모바일),옵션,추가상품,상품속성,최소구매수량,최대구매수량,복수구매할인,포인트(상품구매),포인트(상품구매/관리자),포인트(텍스트리뷰 작성),포인트(포토/동영상리뷰 작성),포인트(한달사용 텍스트리뷰 작성),포인트(한달사용 포토/동영상리뷰 작성),포인트(톡톡친구/스토어찜고객 리뷰 작성),무이자할부,사은품,묶음배송,배송비유형,배송비결제방식,기본배송비,반품배송비,교환배송비,무료반품보험,네이버쇼핑 등록(스마트스토어),네이버쇼핑 등록(쇼핑윈도),대분류,중분류,소분류,세분류,제조사명,브랜드명,브랜드ID,모델명,브랜드인증,자체제작,맞춤제작,인증정보,판매자바코드,판매자 내부코드1,판매자 내부코드2,대표이미지 URL,판매시작일,판매종료일,모바일 미리보기 생성일,상품등록일,최종수정일,구독유형
5623591065,3DB_0019,스마트스토어,Y,BEER LOGO,N,-,판매중,전시중,84,89000,89000,,,89000,,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210602_266/16226005771590Gk4z_JPEG/23736422876210554_80304143.jpg,,,,2021-06-02 11:24:52,2021-07-05 14:19:08,
5623478345,3DB_0010,스마트스토어,Y,COFFEE SHOP,N,-,판매중,전시중,86,129000,129000,,,129000,,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20200409_147/15864076039617qpBm_JPEG/23770992155774970_272480545.jpg,,,,2021-06-02 10:42:19,2021-07-05 14:19:08,
5623464128,3DB_0003,스마트스토어,Y,CAFE LOGO,N,-,판매중,전시중,84,110000,110000,,,110000,,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210602_89/1622597533018JnEdJ_JPEG/23733366818926478_58268412.jpg,,,,2021-06-02 10:35:32,2021-07-15 08:35:11,
5564793088,3DB_0001,스마트스토어,Y,OPEN 네온LED 영업중 조명사인 대문자형,N,-,판매중,전시중지,1111,89000,69000,20000원,,69000,20000원,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210504_268/16200872690970jLW7_JPEG/21223111809082375_427801112.jpg,,,,2021-05-04 09:36:11,2021-07-05 14:19:08,
5554114837,,스마트스토어,Y,(자동시안/견적) 3/5T 아크릴스카시 한/영/중/일 접착식 재단 미러광택 소량주문가능,N,-,판매중,전시중,1111,25000,1200,23800원,,1200,23800원,,Y,N,N,,,,,1.0%,0,0,0,0,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,Y,N,,,,http://shop1.phinf.naver.net/20210429_82/1619668924655Bs2wa_JPEG/20804758356986467_556098027.jpg,,,,2021-04-28 22:32:30,2021-07-05 14:19:08,
5553060258,,스마트스토어,Y,"변경 ( 일반형 ) DIY 철제간판 , 도색간판",N,-,판매중,전시중지,72900,35000,35000,,,35000,,,Y,N,N,,,,,1.0%,0,0,0,0,0,,,,무료,,0,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,Y,N,,,,http://shop1.phinf.naver.net/20210415_92/1618473928534UYbAm_JPEG/19609707994484506_77528682.jpg,,,,2021-04-28 14:37:31,2021-07-05 14:19:08,
5543209252,3DB_0015,스마트스토어,Y,야자수 그린/브라운 네온조명 루미사인 게스트하우스 숙박업 썸머비치 서핑존 해변 식물LED,N,-,판매중,전시중,1110,79000,79000,,,79000,,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210423_2/1619152070861otrzc_JPEG/20287905339625705_1851135644.jpg,,,,2021-04-23 13:29:34,2021-07-05 14:19:08,
5543184233,3DB_0005,스마트스토어,Y,꽃길만걸어요 레드/핑크 네온광원 와인바 포토존 레터링조명 벤치조명 스팟 무드풍경 복도등,N,-,판매중,전시중,1108,119000,119000,,,119000,,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210423_194/1619151185379jxTEV_JPEG/20286965100412389_868760174.jpg,,,,2021-04-23 13:18:35,2021-07-05 14:19:08,
5541325255,3DB_0008,스마트스토어,Y,누들 블루네온사인 라멘 면전문점 칼국수 우동 편의점 야외전시 LED미니조명 걸이형 벽등,N,-,판매중,전시중,1110,69000,69000,,,69000,,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210422_112/1619076101805PDYXf_JPEG/20211881497139970_1987939466.jpg,,,,2021-04-22 16:48:48,2021-07-05 14:19:08,
5526918158,,스마트스토어,Y,"( 일반형 ) DIY 철제간판 , 도색간판",N,-,판매중,전시중,405000,65000,35000,30000원,,35000,30000원,,Y,N,N,,,,,1.0%,0,0,0,0,0,,,,무료,,0,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,Y,N,,,,http://shop1.phinf.naver.net/20210415_92/1618473928534UYbAm_JPEG/19609707994484506_77528682.jpg,,,,2021-04-15 17:08:54,2021-07-30 13:36:36,
