"스토어팜 보고서(매일)(2021.07.08.~2021.07.08.),signcody"
"캠페인유형","캠페인","광고그룹","소재","평균노출순위","노출수","클릭수","클릭률(%)","평균클릭비용(VAT포함,원)","총비용(VAT포함,원)","전환수","전환율(%)","전환매출액(원)","전환당비용(원)","광고수익률(%)"
"쇼핑검색","스토어팜","j#17상소#캠핑문패","nad-a001-02-000000138288701","2","18","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","j#17상소#캠핑문패","nad-a001-02-000000138288705","11","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","j#17상소#캠핑문패","nad-a001-02-000000138288761","11.3","11","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","j#17상소#캠핑문패","nad-a001-02-000000141207085","7.7","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","j#17상소#캠핑문패","nad-a001-02-000000141207094","9","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","k#18상소#아이방문패","nad-a001-02-000000138288757","5","25","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","k#18상소#아이방문패","nad-a001-02-000000138288758","9","14","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","k#18상소#아이방문패","nad-a001-02-000000140009742","6.2","20","1","5","385","385","0","0","0","0","0"
"쇼핑검색","스토어팜","k#18상소#아이방문패","nad-a001-02-000000140009743","6.8","13","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","k#18상소#아이방문패","nad-a001-02-000000140009744","6","34","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","k#18상소#아이방문패","nad-a001-02-000000140009745","9.2","13","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","l#19상소#도로명주소판","nad-a001-02-000000138288753","8.3","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","e#12상중#캠핑간판","nad-a001-02-000000138288671","13","8","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","e#12상중#캠핑간판","nad-a001-02-000000138288672","7.2","38","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","e#12상중#캠핑간판","nad-a001-02-000000138288673","4","110","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","e#12상중#캠핑간판","nad-a001-02-000000138288675","2.9","142","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","e#12상중#캠핑간판","nad-a001-02-000000138288677","5.1","105","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","e#12상중#캠핑간판","nad-a001-02-000000138288679","1.8","154","0","0","0","0","0","0","0","0","0"
