광고다운로드에서는 기본입찰가는 표시되지 않습니다.
CUST_ID,로그인 ID,캠페인 ID,캠페인 이름,광고그룹 ID,광고그룹 이름,광고그룹 유형,소재 ID,기본상품명,노출상품명,카테고리,쇼핑몰 상품ID,소재 입찰가,소재 상태
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000138287041,야자수 그린/브라운 네온조명 루미사인 게스트하우스 숙박업 썸머비치 서핑존 해변 식물LED,야자수 서핑존 영업중 오픈간판 개업선물,가구/인테리어/인테리어소품/디자인문패,5543209252,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000138287042,꽃길만걸어요 레드/핑크 네온광원 와인바 포토존 레터링조명 벤치조명 스팟 무드풍경 복도등,꽃길만걸어요 영업중 오픈간판 개업선물,가구/인테리어/인테리어소품/디자인문패,5543184233,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000138287043,누들 블루네온사인 라멘 면전문점 칼국수 우동 편의점 야외전시 LED미니조명 걸이형 벽등,누들라멘 면전문점 영업중 오픈간판 개업선물,가구/인테리어/인테리어소품/디자인문패,5541325255,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000138287044,"( 일반형 ) DIY 철제간판 , 도색간판",,가구/인테리어/인테리어소품/디자인문패,5526918158,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000138287045,"( 밑줄형 ) DIY 철제간판 , 도색간판",,가구/인테리어/인테리어소품/디자인문패,5519456740,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000138287048,셀프바 주문제작 네온 이니셜 루미사인 문자조명 LED간판 나래바 무드등 차박소품 개업선물,셀프바 뷔페 영업중 오픈간판 개업선물,가구/인테리어/인테리어소품/디자인문패,5223485305,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000138287049,블루네온 헤어샵 이니셜 루미사인 LED간판 입체글자 개업선물 전광판 바버샵 미용실 나래바,헤어샵 미용실 영업중 오픈간판 개업선물,가구/인테리어/인테리어소품/디자인문패,4884729518,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z#6연습#2,쇼핑몰상품,nad-a001-02-000000138287053,네일아트 네일샵 led 조명간판,네일샵 영업중 오픈간판 개업선물,가구/인테리어/인테리어소품/디자인문패,4884956801,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w#4연습#상품소,쇼핑몰상품,nad-a001-02-000000141206951,베이커리 이쁜보조간판 LED 조명 빵집 빵나오는 시간,베이커리 축하선물,가구/인테리어/인테리어소품/디자인문패,5688594406,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w#4연습#상품소,쇼핑몰상품,nad-a001-02-000000141206952,24시 영업중 오픈 잘보이는 적색 LED 개업선물 영업재개 코로나 창문간판,24시 영업중 축하선물,가구/인테리어/인테리어소품/디자인문패,5688592256,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w#4연습#상품소,쇼핑몰상품,nad-a001-02-000000141206953,영문스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,영문글자 아크릴스카시 축하선물,가구/인테리어/인테리어소품/디자인문패,5687991038,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w#4연습#상품소,쇼핑몰상품,nad-a001-02-000000141206954,누들 블루네온사인 라멘 면전문점 칼국수 우동 편의점 야외전시 LED미니조명 걸이형 벽등,면전문점 축하선물,가구/인테리어/인테리어소품/디자인문패,5541325255,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w#4연습#상품소,쇼핑몰상품,nad-a001-02-000000141206955,정사각형 부식 간판 현판 비조명 조명,부식간판 사각현판 조명 축하선물,생활/건강/문구/사무용품/사무용품/명패,5678915479,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w#4연습#상품소,쇼핑몰상품,nad-a001-02-000000141206956,한글스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,한글 스카시 축하선물,가구/인테리어/인테리어소품/디자인문패,5673380283,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w#4연습#상품소,쇼핑몰상품,nad-a001-02-000000138098205,화장실 픽토그램 화장실표찰 아크릴 스카시 3T,아크릴스카시 화장실픽토그램 표지판 아이방문패,가구/인테리어/인테리어소품/디자인문패,5626538470,160,on
