210624,키워드,검색(PC),검색(폰),평균클릭(PC),평균클릭(폰),평클릭률(PC),평균클릭률(폰),노출광고수,경쟁도,총조회,총클릭,상품수,top3,비율(조회),비율 (클릭)
34,나무메뉴판,230,920,2.3,21.7,1.15,2.56,15,높음,1150,24,2395,val!나무메뉴판 우드사인 나무간판 문패 카페 베이커리lnk!80832097902val!집성목 벽걸이 나무메뉴판lnk!21420027014val!포레스트 우드 벽부착형 테이블 나무메뉴판 표찰 사인 나무간판lnk!82394111208,2,95
35,팻말,3290,4980,5.7,33,0.19,0.7,15,높음,8270,38,711234,val!아크릴현판 간판제작 카페 회사명판 사무실표지판 도어사인 표찰 팻말 실내 미니 사인물lnk!26675612101val!풀컬러 디자인 감성 캠핑 문패 제작 자작나무 미니 간판 입간판 팻말lnk!82921065382val!화장실 표지판 안내문 안내판 표찰 표시 문구 팻말lnk!26013803840,85,17915
36,현판제작,1600,1290,61,65.7,4.19,5.58,15,높음,2890,126,10642,val!사파이어 미니간판 스텐현판 메탈명판 금속 골드 작은 소형 카페 회사 사무실표찰 표지판제작lnk!82137137001val!아크릴현판 간판제작 카페 회사명판 사무실표지판 도어사인 표찰 팻말 실내 미니 사인물lnk!26675612101val!샤틴 아크릴간판 현판제작 회사 사무실 카페 부서표찰 미니 소형 작은 실내 안내판 표지판lnk!82064396067,3,83
37,나무이름표,380,800,10.7,30,2.83,3.85,15,높음,1180,40,10559,val!포 우드 나무 표찰 원목 표지판 안내판 현판 도어사인 이름표 팻말 오픈클로즈 알림판 제작lnk!82340893072val!우드사인 오픈클로즈 아이방문패 동호수판 나무 팻말 이름표 작은 나무간판 디자인문패lnk!82581860085val!다온 수목 표찰 식물명찰 팻말 나무이름표lnk!21761978082,8,253
38,카페간판,870,2450,14.7,77.3,1.83,3.38,15,높음,3320,92,51174,val!사파이어 미니간판 스텐현판 메탈명판 금속 골드 작은 소형 카페 회사 사무실표찰 표지판제작lnk!82137137001val!아크릴현판 간판제작 카페 회사명판 사무실표지판 도어사인 표찰 팻말 실내 미니 사인물lnk!26675612101val!샤틴 아크릴간판 현판제작 회사 사무실 카페 부서표찰 미니 소형 작은 실내 안내판 표지판lnk!82064396067,15,550
39,아트시스,1550,1930,5.3,18.7,0.38,1.05,7,중간,3480,24,922,val!포 우드 나무간판 원목표찰 목재 도어사인 실내 소형 대문 현관 레터링 미니현판 안내판제작lnk!82193642872val!사파이어 미니간판 스텐현판 메탈명판 금속 골드 작은 소형 카페 회사 사무실표찰 표지판제작lnk!82137137001val!샤틴 아크릴간판 현판제작 회사 사무실 카페 부서표찰 미니 소형 작은 실내 안내판 표지판lnk!82064396067,0,36
40,호수판,170,430,1.9,17,1.17,4.03,15,높음,600,18,22975,val!호실판 호수판 룸넘버 방번호판 도어사인 아파트 동호수 빌라 현관문 대문 표찰 표지판 제작lnk!10767860091val!아파트호수판 WNR008 호실판 번호판 동호수 숫자판lnk!10558290734val!현관문호수 방 대문 문패 아파트호수판 호실판 숫자판 도어사인 호수판 번호판 1Plnk!25232922632,38,1154
41,큐브간판,400,840,7.2,32.7,1.88,4.32,15,높음,1240,39,2171,val!led아크릴사각박스큐브간판 포인트돌출 실내실외 간판lnk!8267134269val!led우드큐브간판아크릴박스포인트돌출나무간판lnk!11640837518val!LED조명 아크릴 큐브간판 포인트 돌출간판lnk!11660546887,1,53
42,텃밭팻말,430,930,4.3,20.7,0.94,2.11,13,중간,1360,25,3655,val!원목 나무 텃밭 농장 소품 반제품 팻말 푯말 나무팻말lnk!82196876921val!나무팻말 텃밭팻말 주말농장 유치원 어린이집팻말lnk!80044151609val!텃밭팻말 화단팻말 텃밭푯말 꽃표지판lnk!83008733551,2,140
43,방문패,210,730,0.6,14,0.31,1.99,15,높음,940,14,26962,val!포 우드 나무 표찰 원목 표지판 안내판 현판 도어사인 이름표 팻말 오픈클로즈 알림판 제작lnk!82340893072val!호실판 호수판 룸넘버 방번호판 도어사인 아파트 동호수 빌라 현관문 대문 표찰 표지판 제작lnk!10767860091val!우드사인 오픈클로즈 아이방문패 동호수판 나무 팻말 이름표 작은 나무간판 디자인문패lnk!82581860085,28,1728
44,간판만들기,740,2790,24.7,125.2,3.65,4.8,15,높음,3530,149,22873,val!아크릴 스카시 셀프 간판 만들기 문패 글씨 글자 로고 숫자 이니셜 레터링 도어사인 제작lnk!8527754670val!고무스카시 입체글자 DIY 셀프간판 현판 금색문자 글씨제작 사무실 회사 병원 카페 가게lnk!13371496354val!아크릴간판 고무 스카시 미니 글자 로고 제작 셀프 만들기 카페메뉴판 글씨 네일 금색 입체lnk!9735003723,6,151
45,오픈팻말,120,610,1.9,20.7,1.57,3.65,15,높음,730,22,49352,val!포 우드 나무 표찰 원목 표지판 안내판 현판 도어사인 이름표 팻말 오픈클로즈 알림판 제작lnk!82340893072val!오픈휴무 영업중 외출중 카페 사무실 팻말 안내표지판 333잠시외 출 중입니다번호기재lnk!27063891234val!오픈 클로즈 OPEN CLOSED 팻말 자작나무 양면 안내판 문패lnk!80963185510,67,2091
46,화장실표시판,340,710,4.7,32.3,1.51,4.7,15,높음,1050,37,264613,val!화장실 표지판 안내문 안내판 표찰 표시 문구 팻말lnk!26013803840val!도어사인 화장실표지판 오픈안내판 영업중 표찰 CCTV녹화중 금연표시 관계자외출입금지 문패lnk!82121345920val!안내판 표지판 CCTV녹화중 주차 금지 화장실 금연 흡연 소화기 조심 주의 알림판 푯말lnk!24187559407,251,6963
47,나무팻말,390,800,6.7,22,1.76,2.72,15,높음,1190,28,10026,val!포 우드 나무 표찰 원목 표지판 안내판 현판 도어사인 이름표 팻말 오픈클로즈 알림판 제작lnk!82340893072val!풀컬러 디자인 감성 캠핑 문패 제작 자작나무 미니 간판 입간판 팻말lnk!82921065382val!원목 나무 텃밭 농장 소품 반제품 팻말 푯말 나무팻말lnk!82196876921,8,337
48,우드간판,200,640,3.6,6.3,1.88,1.03,15,높음,840,9,10634,val!포 우드 나무간판 원목표찰 목재 도어사인 실내 소형 대문 현관 레터링 미니현판 안내판제작lnk!82193642872val!포레스트 우드 나무 미니 간판 미용실 네일샵 가게 개업선물 디자인 문패 표찰 도어사인 안내판 현판 현관 대문 원목 벽간판lnk!80030424293val!디자인 캠핑문패 우드간판 나무간판 감성캠핑용품 입간판lnk!82683878317,12,975
49,채널간판,1210,1690,11.5,34.5,1.05,2.27,15,높음,2900,46,2509,val!채널간판 LED조명 실내 입체글자 간판 셀프 써니싸인lnk!82530668776val!LED채널간판 문자 DIY 주문제작lnk!13508669111val!금손간판 채널LED간판 스텐 입체문자 골드 CNC가공 스카시 인테리어 외부 실내 도어사인lnk!82278451741,0,53
50,화장실표시,720,1040,3.6,29,0.54,3.08,15,높음,1760,32,45478,val!화장실 표지판 안내문 안내판 표찰 표시 문구 팻말lnk!26013803840val!도어사인 화장실표지판 오픈안내판 영업중 표찰 CCTV녹화중 금연표시 관계자외출입금지 문패lnk!82121345920val![미국직수입소재] 로마크골드 화장실표지판 화장실표찰 화장실표시 디자인문패 인테리어lnk!80277786929,25,1353
51,나무현판,500,680,14.6,26.8,2.92,4.29,15,높음,1180,41,6813,val!포 우드 나무간판 원목표찰 목재 도어사인 실내 소형 대문 현관 레터링 미니현판 안내판제작lnk!82193642872val!포 우드 나무 표찰 원목 표지판 안내판 현판 도어사인 이름표 팻말 오픈클로즈 알림판 제작lnk!82340893072val!포레스트 우드 나무 미니 간판 미용실 네일샵 가게 개업선물 디자인 문패 표찰 도어사인 안내판 현판 현관 대문 원목 벽간판lnk!80030424293,5,160
52,철제간판,340,810,6.4,26.3,2.11,3.57,15,높음,1150,32,24951,val!철제 입체간판 까치발 셀프 스카시 카페 미니 돌출 포인트 가게 사무실 실내 옥외 명패디자인lnk!81883430646val!스텐 양면 돌출 간판 골드 금속 카페 사무실 철제 명판 미니 사각 명패 예쁜 포인트간판lnk!82229447729val!A형 조립형 입간판 철제 골드 금속 스텐 미용실 카페 개업선물 미러 입구 간판 주문 제작lnk!82314725472,21,740
53,포인트간판,480,700,7.3,19.3,1.65,2.97,15,높음,1180,26,4359,val!가볍고 부담 없는 아크릴 양면 미니 돌출 간판 예쁜 사각 패션 포인트 간판 부서 명판lnk!82564970551val!스텐 양면 돌출 간판 골드 금속 카페 사무실 철제 명판 미니 사각 명패 예쁜 포인트간판lnk!82229447729val!led아크릴사각박스큐브간판 포인트돌출 실내실외 간판lnk!8267134269,3,157
