광고그룹 ID,상품 ID,소재 입찰가,노출상품명
grp-a001-02-000000009335164,5742869579.0,190.0,다양한 차전화번호 스티커표찰 도어사인 안전표지판 어서오세요 고정 반응형 자동 표찰 푯말
grp-a001-02-000000021854519,5742869579.0,190.0,다양한 미용실간판 스티커표찰 영업시간스티커 현관문패 어서오세요 고정 출입 자동 화장실표지판 푯말
grp-a001-02-000000021807519,5742869579.0,190.0,다양한 새차선물 스티커표찰 어린이보호차량 관계자외출입금지 어서오세요 배관청소 출입 자동 화장실표지판 안내
grp-a001-02-000000021807501,5742869579.0,190.0,다양한 전기타이머 스티커표찰 안전표지판 아크릴칸막이 어서오세요 하수관 출입 자동 화장실표지판 푯말
grp-a001-02-000000021807488,5742869579.0,190.0,다양한 1인가구 스티커표찰 영업시간스티커 영업시간스티커 어서오세요 배관청소 출입 자동 화장실표지판 안내
grp-a001-02-000000021807497,5742869579.0,190.0,다양한 1인가구 스티커표찰 미세요 당기세요 어서오세요 배관청소 출입 자동 표찰 푯말
grp-a001-02-000000021807496,5742869579.0,190.0,다양한 차전화번호 스티커표찰 도어사인 표찰 어서오세요 배관청소 출입 자동 화장실표지판 안내
grp-a001-02-000000021807523,5742869579.0,190.0,다양한 차량번호판 스티커표찰 문패 도어사인 어서오세요 하수관 출입 자동 화장실표지판 푯말
grp-a001-02-000000021807511,5742869579.0,190.0,다양한 현판제작 스티커표찰 미세요 차량핸드폰번호 어서오세요 배관청소 반응형 자동 폐문 푯말
grp-a001-02-000000009335164,5742869578.0,190.0,다양한 프리랜서 스티커표찰 미용실간판 남자신발 UBR욕실 화선지 블루라이트차단안경 집청소
grp-a001-02-000000021854519,5742869578.0,190.0,다양한 재능마켓 스티커표찰 고무스카시 어글리슈즈 수도계량기 화선지 블루라이트차단안경 정리수납전문가
grp-a001-02-000000021807519,5742869578.0,190.0,다양한 재능마켓 스티커표찰 원목액자 나이키신발 대림바스수전 금지 돋보기안경 구독서비스
grp-a001-02-000000021807501,5742869578.0,190.0,다양한 다국어 스티커표찰 표지판 여성구두 욕조교체 창호지 돋보기안경 집청소도우미
grp-a001-02-000000021807488,5742869578.0,190.0,다양한 프리랜서 스티커표찰 원목액자 스니커즈 매립욕조 창호지 블루라이트차단안경 흰옷얼룩제거
grp-a001-02-000000021807497,5742869578.0,190.0,다양한 재능마켓 스티커표찰 표찰 여자운동화 욕실젠다이 금지 블루라이트차단안경 가구버리는방법
grp-a001-02-000000021807496,5742869578.0,190.0,다양한 프리랜서 스티커표찰 게시판 남자신발 욕실타일 금지 블루라이트차단안경 집청소
grp-a001-02-000000021807523,5742869578.0,190.0,다양한 재능마켓 스티커표찰 액자제작 워킹화 욕실젠다이 화선지 가격 흰옷얼룩제거
grp-a001-02-000000021807511,5742869578.0,190.0,다양한 다국어 스티커표찰 표찰 젤리슈즈 화장실리모델링 화선지 가격 중고가구팔기
grp-a001-02-000000009335164,5742869577.0,190.0,타투스티커 아크릴명판 셀프나노코팅 남녀
grp-a001-02-000000021854519,5742869577.0,190.0,쇼핑몰 아크릴안내판 욕실젠다이 남녀
grp-a001-02-000000021807519,5742869577.0,190.0,스티커 회사명판 욕실바닥타일 남녀
grp-a001-02-000000021807501,5742869577.0,190.0,입간판 A2액자 타일쇼핑몰 남녀
grp-a001-02-000000021807488,5742869577.0,190.0,타투도안 아크릴표찰 화장실타일 남녀
grp-a001-02-000000021807497,5742869577.0,190.0,스티커주문제작 아크릴명판 대림바스수전 남녀
grp-a001-02-000000021807496,5742869577.0,190.0,보냉팩 안내표지판 화장실리모델링비용 남녀
grp-a001-02-000000021807523,5742869577.0,190.0,스티커만들기 외부차량주차금지표지판 타일쇼핑몰 남녀
grp-a001-02-000000021807511,5742869577.0,190.0,씰스티커 아크릴표찰 욕실 남녀
grp-a001-02-000000009335164,5742869576.0,190.0,스티커주문제작 1인가구 아크릴주문제작 각인 욕실상부장 안전표지판
grp-a001-02-000000021854519,5742869576.0,190.0,종이봉투 자동차주차번호판 화분이름표 스텐실 화장실인테리어 잠시외출중
grp-a001-02-000000021807519,5742869576.0,190.0,리플렛 거실아트월 현판제작 강아지이름표 주방리모델링 차량핸드폰번호
grp-a001-02-000000021807501,5742869576.0,190.0,문신스티커 자동차악세사리 안내판 반지각인 24평아파트인테리어 잠시외출중
grp-a001-02-000000021807488,5742869576.0,190.0,네임스티커 새차선물 샌드블라스트 스텐실 셀프나노코팅 도어사인
grp-a001-02-000000021807497,5742869576.0,190.0,문구류 자동차핸드폰번호 안내판 강아지이름표 포세린타일 현관문패
