광고그룹 ID,소재 ID,소재 입찰가
grp-a001-02-000000021807501,nad-a001-02-000000138288740,280
grp-a001-02-000000021786478,nad-a001-02-000000138104753,170
grp-a001-02-000000021786478,nad-a001-02-000000141045853,350
grp-a001-02-000000021786478,nad-a001-02-000000138272061,330
grp-a001-02-000000021786478,nad-a001-02-000000138272063,280
grp-a001-02-000000021807554,nad-a001-02-000000138288725,400
grp-a001-02-000000021807484,nad-a001-02-000000138288761,400
grp-a001-02-000000021807485,nad-a001-02-000000138288758,400
grp-a001-02-000000021807486,nad-a001-02-000000138288753,320
grp-a001-02-000000021807555,nad-a001-02-000000138288714,310
grp-a001-02-000000021736136,nad-a001-02-000000137583321,170
grp-a001-02-000000021807552,nad-a001-02-000000138288727,280
grp-a001-02-000000021807488,nad-a001-02-000000138288671,410
grp-a001-02-000000021807481,nad-a001-02-000000138288504,410
grp-a001-02-000000021785285,nad-a001-02-000000138287084,370
grp-a001-02-000000021807511,nad-a001-02-000000138288580,290
grp-a001-02-000000021807484,nad-a001-02-000000138288697,330
grp-a001-02-000000021807497,nad-a001-02-000000138288629,260
grp-a001-02-000000021785266,nad-a001-02-000000138287063,240
grp-a001-02-000000021807501,nad-a001-02-000000138288601,290
grp-a001-02-000000021807484,nad-a001-02-000000138288698,370
grp-a001-02-000000021807546,nad-a001-02-000000138288556,360
grp-a001-02-000000021807481,nad-a001-02-000000138288505,270
grp-a001-02-000000021807496,nad-a001-02-000000138288651,350
grp-a001-02-000000021807511,nad-a001-02-000000138288581,350
grp-a001-02-000000021807497,nad-a001-02-000000138288630,280
grp-a001-02-000000021807554,nad-a001-02-000000141207059,280
grp-a001-02-000000021807501,nad-a001-02-000000138288602,290
grp-a001-02-000000021807488,nad-a001-02-000000138288673,410
grp-a001-02-000000021785285,nad-a001-02-000000138287086,370
grp-a001-02-000000021807496,nad-a001-02-000000138288652,350
grp-a001-02-000000021807511,nad-a001-02-000000138288582,350
grp-a001-02-000000021807484,nad-a001-02-000000138288699,330
grp-a001-02-000000021807501,nad-a001-02-000000138288603,290
grp-a001-02-000000021807511,nad-a001-02-000000141207046,140
grp-a001-02-000000021807481,nad-a001-02-000000141206984,370
grp-a001-02-000000021807486,nad-a001-02-000000141206839,330
grp-a001-02-000000021807546,nad-a001-02-000000141206728,200
grp-a001-02-000000022036028,nad-a001-02-000000140183832,120
grp-a001-02-000000021807497,nad-a001-02-000000141206916,120
grp-a001-02-000000009335164,nad-a001-02-000000138286764,370
grp-a001-02-000000021807511,nad-a001-02-000000141207047,310
grp-a001-02-000000022036032,nad-a001-02-000000140183867,110
grp-a001-02-000000021807550,nad-a001-02-000000141206965,280
grp-a001-02-000000021807546,nad-a001-02-000000138288559,380
grp-a001-02-000000021807488,nad-a001-02-000000138288675,370
grp-a001-02-000000021807481,nad-a001-02-000000138288508,360
grp-a001-02-000000021807496,nad-a001-02-000000138288654,350
grp-a001-02-000000021807511,nad-a001-02-000000138288584,290
grp-a001-02-000000021807555,nad-a001-02-000000138288530,330
grp-a001-02-000000021807497,nad-a001-02-000000138288633,260
grp-a001-02-000000021807501,nad-a001-02-000000140188112,350
grp-a001-02-000000021786478,nad-a001-02-000000138272069,280
grp-a001-02-000000021807488,nad-a001-02-000000138288677,410
grp-a001-02-000000021807481,nad-a001-02-000000138288510,410
grp-a001-02-000000021807546,nad-a001-02-000000138288561,370
grp-a001-02-000000021807496,nad-a001-02-000000138288656,290
grp-a001-02-000000021807511,nad-a001-02-000000138288586,290
grp-a001-02-000000022036028,nad-a001-02-000000140183837,240
grp-a001-02-000000021807497,nad-a001-02-000000138288635,260
grp-a001-02-000000021807488,nad-a001-02-000000138288679,410
grp-a001-02-000000021807546,nad-a001-02-000000138288563,370
grp-a001-02-000000021807511,nad-a001-02-000000138288588,230
grp-a001-02-000000021807484,nad-a001-02-000000138288705,330
grp-a001-02-000000021807555,nad-a001-02-000000138288534,330
